0 0.00 0.50 -0.60
1 0.02 0.50 0.60
2 0.03 0.50 0.60
3 0.05 0.50 0.60
4 0.07 0.50 0.60
5 0.09 0.50 0.60
6 0.10 0.50 0.60
7 0.12 0.50 0.60
8 0.14 0.50 0.60
9 0.16 0.49 0.60
10 0.17 0.49 0.60
11 0.19 0.49 0.60
12 0.21 0.49 0.60
13 0.22 0.49 0.60
14 0.24 0.49 0.60
15 0.26 0.48 0.60
16 0.28 0.48 0.60
17 0.29 0.48 0.60
18 0.31 0.48 0.60
19 0.33 0.47 0.60
20 0.34 0.47 0.60
21 0.36 0.47 0.60
22 0.37 0.46 0.60
23 0.39 0.46 0.60
24 0.41 0.46 0.60
25 0.42 0.45 0.60
26 0.44 0.45 0.60
27 0.45 0.45 0.60
28 0.47 0.44 0.60
29 0.48 0.44 0.60
30 0.50 0.43 0.60
31 0.52 0.43 0.60
32 0.53 0.42 0.60
33 0.54 0.42 0.60
34 0.56 0.41 0.60
35 0.57 0.41 0.60
36 0.59 0.40 0.60
37 0.60 0.40 0.60
38 0.62 0.39 0.60
39 0.63 0.39 0.60
40 0.64 0.38 0.60
41 0.66 0.38 0.60
42 0.67 0.37 0.60
43 0.68 0.37 0.60
44 0.69 0.36 0.60
45 0.71 0.35 0.60
46 0.72 0.35 0.60
47 0.73 0.34 0.60
48 0.74 0.33 0.60
49 0.75 0.33 0.60
50 0.77 0.32 0.60
51 0.78 0.31 0.60
52 0.79 0.31 0.60
53 0.80 0.30 0.60
54 0.81 0.29 0.60
55 0.82 0.29 0.60
56 0.83 0.28 0.60
57 0.84 0.27 0.60
58 0.85 0.26 0.60
59 0.86 0.26 0.60
60 0.87 0.25 0.60
61 0.87 0.24 0.60
62 0.88 0.23 0.60
63 0.89 0.23 0.60
64 0.90 0.22 0.60
65 0.91 0.21 0.60
66 0.91 0.20 0.60
67 0.92 0.20 0.60
68 0.93 0.19 0.60
69 0.93 0.18 0.60
70 0.94 0.17 0.60
71 0.95 0.16 0.60
72 0.95 0.15 0.60
73 0.96 0.15 0.60
74 0.96 0.14 0.60
75 0.97 0.13 0.60
76 0.97 0.12 0.60
77 0.97 0.11 0.60
78 0.98 0.10 0.60
79 0.98 0.10 0.60
80 0.98 0.09 0.60
81 0.99 0.08 0.60
82 0.99 0.07 0.60
83 0.99 0.06 0.60
84 0.99 0.05 0.60
85 1.00 0.04 0.60
86 1.00 0.03 0.60
87 1.00 0.03 0.60
88 1.00 0.02 0.60
89 1.00 0.01 0.60
90 1.00 0.00 0.60
91 1.00 -0.01 0.60
92 1.00 -0.02 0.60
93 1.00 -0.03 0.60
94 1.00 -0.03 0.60
95 1.00 -0.04 0.60
96 0.99 -0.05 0.60
97 0.99 -0.06 0.60
98 0.99 -0.07 0.60
99 0.99 -0.08 0.60
100 0.98 -0.09 0.60
101 0.98 -0.10 0.60
102 0.98 -0.10 0.60
103 0.97 -0.11 0.60
104 0.97 -0.12 0.60
105 0.97 -0.13 0.60
106 0.96 -0.14 0.60
107 0.96 -0.15 0.60
108 0.95 -0.15 0.60
109 0.95 -0.16 0.60
110 0.94 -0.17 0.60
111 0.93 -0.18 0.60
112 0.93 -0.19 0.60
113 0.92 -0.20 0.60
114 0.91 -0.20 0.60
115 0.91 -0.21 0.60
116 0.90 -0.22 0.60
117 0.89 -0.23 0.60
118 0.88 -0.23 0.60
119 0.87 -0.24 0.60
120 0.87 -0.25 0.60
121 0.86 -0.26 0.60
122 0.85 -0.26 0.60
123 0.84 -0.27 0.60
124 0.83 -0.28 0.60
125 0.82 -0.29 0.60
126 0.81 -0.29 0.60
127 0.80 -0.30 0.60
128 0.79 -0.31 0.60
129 0.78 -0.31 0.60
